year,doy,hod,A(uso),A(pmax),E(uso),E(pmax),Ci(uso),Ci(pmax),gs(uso),gs(pmax),Pleaf(uso),Pleaf(pmax),Tleaf(uso),Tleaf(pmax),Rublim(uso),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(uso),Eci(pmax),Es(uso),Es(pmax),sw(uso),sw(pmax),Ps(uso),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[MPa],[degC],[degC],[-],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
2016.0,303.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,304.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,5.0,-0.6271656000163832,-0.9461926226497485,0.33205963,0.16581036826364243,38.825992238707904,27.95244133362009,3.9206820423585656e-08,0.05807655571298522,0.0,-0.36844676716639596,15.973458811600693,15.988262087187046,False,False,5.081387900675947,0.9988050832911439,0.9988050832911439,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,5.5,1.0236355016478325,1.0856744844150332,0.924636378,0.46170712876521747,38.39710602480909,42.61972740817154,0.01460479225243041,0.13905654531581468,0.0,-0.40473170045040385,16.862324677236696,16.901655689725473,False,False,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0027304933170583974,0.0027304933170583974,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,6.0,2.6672087365629156,2.670095857745891,0.962031286,0.480379869762565,38.0692629077156,39.211813959570826,0.036251878498857734,0.12530469795873556,0.0,-0.40473170045040385,17.24822120263783,17.29016745856297,False,False,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.007872079852609416,0.007872079852609416,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,6.5,6.297084274696293,6.447120316088453,1.886859596,0.9421828376865553,37.39522354831092,40.59468550687224,0.07759549975179898,0.19805681326480587,0.0,-0.4410166337344118,18.59098962287545,18.670362516287653,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.023983317571574094,0.023983317571574094,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,7.0,13.277662138643468,13.34251073906064,2.574599474,1.2855982731635285,37.1070435107589,38.19742017182249,0.15433116244282707,0.23114473079952125,0.0,-0.4773015670184197,20.072575138164623,20.185818228376764,False,False,5.081387900675947,0.9976669678194982,0.9976669678194982,0.0,0.0,0.05542012257701167,0.05542012257701167,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,7.5,15.927850047024922,16.052089273367297,3.541383478,1.76835136101898,36.256878657548256,37.94231376863151,0.16699281492923085,0.24733551120332975,0.0,-0.5135865003024276,20.972260269699248,21.125909796340878,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.07065269230503174,0.07065269230503174,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,8.0,11.987259567805893,12.08515822369148,2.764492024,1.3804190547382775,35.166030169827685,36.561715455219144,0.1109799131946893,0.13851360983535976,0.0,-0.4773015670184197,21.574653009588246,21.696506194029553,False,False,5.081387900675947,0.9976669678194982,0.9976669678194982,0.0,0.0,0.054082141233056366,0.054082141233056366,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,8.5,16.272279699281754,16.16936977166366,3.726418406,1.8607465418282718,34.29069227830317,34.6041349576582,0.1354421493108302,0.143217133651439,0.0,-0.5135865003024276,22.91961694634302,23.08513811871397,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.07941925516975748,0.07941925516975748,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,9.0,16.302670734246263,15.926743733408621,3.536651784,1.765988641032058,33.61861615715386,32.65747746724235,0.1275316719793458,0.11374010319948935,0.0,-0.5135865003024276,23.7061349522199,23.865460836782045,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.08264825000012048,0.08264825000012048,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,9.5,14.051704799696033,13.442836838659979,3.1628060380000003,1.5793128297687131,32.731299478154796,30.674696745564056,0.10035337403394179,0.08075797354903101,0.0,-0.4773015670184197,24.54175715752422,24.685360928751454,False,False,5.081387900675947,0.9976669678194982,0.9976669678194982,0.0,0.0,0.0733015130342407,0.0733015130342407,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,10.0,17.05994431048018,16.225367142819678,4.145713332,2.0701169072988854,32.054150139078146,30.113576244434206,0.11685032682673,0.09286710229713845,0.0,-0.5135865003024276,25.815535932294228,26.003463348295085,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.09701425891342502,0.09701425891342502,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,304,10.5,13.407341484110965,14.034273611721824,6.779049842,3.385044881184765,32.23108667050043,36.90818680318171,0.09275300260025614,0.1619055945826154,0.0,-0.637869048160141,26.32260871848672,26.606424645644335,False,False,5.080682136536089,0.9950664084902981,0.9950664084902981,0.0,0.0,0.07899795184777839,0.07899795184777839,0.0785,0.0785,-0.38443698515145974,-0.38443698515145974
2016,304,11.0,8.573113074533143,9.055635859690081,6.953103724,3.4719567959879485,32.23648442771221,39.651410293291015,0.05907594306976072,0.16644972565597022,0.0,-0.6540714183285221,26.209568981576425,26.49363376572683,False,False,5.079889180521075,0.9947365127009076,0.9947365127009076,0.0,0.0,0.058626151827894296,0.058626151827894296,0.078,0.078,-0.4012300667322298,-0.4012300667322298
